"","observed","simpson","shannon","SampleID","Phenotype","Rep","Nutrient","Exposure_weeks","Nutrient_weeks","Nutrient_geno","Nutrient_merged_geno","Tank","T0_merge","NW_T0_merge","Nutrient_order","Nutrient_no_level","Geno_weeks","No_level_no_T0","Level","No_level_weeks","No_level_weeks_noT0","outlier"
"MP-50-1-T0",43,0.567119068070449,1.52731540244865,"MP-50-1-T0","Susceptible",1,"LP","0","LP0","50_T0","50_T0","MP-50-1","T0","T0",2,"T0","50_0","Phosphate","0","T0","P0","N"
"MP-50-3-T0",89,0.62206473018981,2.01530221415429,"MP-50-3-T0","Susceptible",3,"LP","0","LP0","50_T0","50_T0","MP-50-3","T0","T0",2,"T0","50_0","Phosphate","0","T0","P0","N"
"LP-50-3-T0",96,0.674222970076805,2.17486404135256,"LP-50-3-T0","Susceptible",3,"HP","0","HP0","50_T0","50_T0","LP-50-3","T0","T0",3,"T0","50_0","Phosphate","0","T0","P0","N"
"HA-50-2-T0",47,0.381055671336893,0.968440093008469,"HA-50-2-T0","Susceptible",2,"HA","0","HA0","50_T0","50_T0","HA-50-2","T0","T0",7,"T0","50_0","Ammonium","0","T0","A0","N"
"MP-50-2-T0",68,0.704806660386207,2.0173588545684,"MP-50-2-T0","Susceptible",2,"LP","0","LP0","50_T0","50_T0","MP-50-2","T0","T0",2,"T0","50_0","Phosphate","0","T0","P0","N"
"MC-50-1-T0",71,0.713889061180001,2.12355249566586,"MC-50-1-T0","Susceptible",1,"LC","0","LC0","50_T0","50_T0","MC-50-1","T0","T0",8,"T0","50_0","Combined","0","T0","C0","N"
"MA-50-1-T0",18,0.309879211703264,0.836375178092642,"MA-50-1-T0","Susceptible",1,"LA","0","LA0","50_T0","50_T0","MA-50-1","T0","T0",6,"T0","50_0","Ammonium","0","T0","A0","N"
"MA-50-3-T0",54,0.847868093719319,2.65974460536167,"MA-50-3-T0","Susceptible",3,"LA","0","LA0","50_T0","50_T0","MA-50-3","T0","T0",6,"T0","50_0","Ammonium","0","T0","A0","N"
"HC-50-3-T0",143,0.619535488112862,2.12440300910953,"HC-50-3-T0","Susceptible",3,"HC","0","HC0","50_T0","50_T0","HC-50-3","T0","T0",9,"T0","50_0","Combined","0","T0","C0","N"
"LA-50-3-T0",63,0.642188007173945,1.9346475072513,"LA-50-3-T0","Susceptible",3,"HA","0","T0","50_T0","50_T0","LA-50-3","T0","T0",7,"T0","50_0","Ammonium","0","T0","A0","N"
"HC-50-1-T0",84,0.770845912080846,2.62021932006227,"HC-50-1-T0","Susceptible",1,"HC","0","HC0","50_T0","50_T0","HC-50-1","T0","T0",9,"T0","50_0","Combined","0","T0","C0","N"
"HA-50-3-T0",64,0.614058221125647,1.95944491225388,"HA-50-3-T0","Susceptible",3,"HA","0","HA0","50_T0","50_T0","HA-50-3","T0","T0",7,"T0","50_0","Ammonium","0","T0","A0","N"
"LA-50-1-T0",62,0.567096212778002,1.56579613390112,"LA-50-1-T0","Susceptible",1,"NT","0","NT0","50_T0","50_T0","LA-50-1","T0","T0",1,"T0","50_0","No Treatment","0","T0","NT0","N"
"LP-50-2-T0",58,0.933371050978691,3.13664040005412,"LP-50-2-T0","Susceptible",2,"LP","0","LP0","50_T0","50_T0","LP-50-2","T0","T0",2,"T0","50_0","Phosphate","0","T0","P0","N"
"HN-50-2-T0",36,0.681575371444675,1.69715068842089,"HN-50-2-T0","Susceptible",2,"HN","0","HN0","50_T0","50_T0","HN-50-2","T0","T0",5,"T0","50_0","Nitrate","0","T0","N0","N"
"LN-50-3-T1",22,0.0948573899009774,0.300767982904154,"LN-50-3-T1","Susceptible",3,"HN","3","HN3","50_HN","50_N","LN-50-3","HN","HN3",5,"Nitrate","50_3","Nitrate","H","N3","N3","N"
"HA-50-3-T1",31,0.493501863283488,1.36278977689004,"HA-50-3-T1","Susceptible",3,"HA","3","HA3","50_HA","50_A","HA-50-3","HA","HA3",7,"Ammonium","50_3","Ammonium","H","A3","A3","N"
"LN-50-2-T1",19,0.348049243074269,0.747602424308087,"LN-50-2-T1","Susceptible",2,"LN","3","LN3","50_LN","50_N","LN-50-2","LN","LN3",4,"Nitrate","50_3","Nitrate","L","N3","N3","N"
"MA-50-2-T1",33,0.419341056523985,1.1986683854056,"MA-50-2-T1","Susceptible",2,"LA","3","LA3","50_LA","50_A","MA-50-2","LA","LA3",6,"Ammonium","50_3","Ammonium","L","A3","A3","N"
"HN-50-2-T1",13,0.403778757075329,0.78609996485081,"HN-50-2-T1","Susceptible",2,"HN","6","HN6","50_HN","50_N","HN-50-2","HN","HN6",5,"Nitrate","50_6","Nitrate","H","N6","N6","N"
"MN-50-3-T2",35,0.150124488237682,0.495394432591604,"MN-50-3-T2","Susceptible",3,"LN","6","LN6","50_LN","50_N","MN-50-3","LN","LN6",4,"Nitrate","50_6","Nitrate","L","N6","N6","N"
"MA-50-3-T3",29,0.332195442454606,1.03299511416569,"MA-50-3-T3","Susceptible",3,"LA","3","LA3","50_LA","50_A","MA-50-3","LA","LA3",6,"Ammonium","50_3","Ammonium","L","A3","A3","N"
"MN-50-1-T4",26,0.401569950815718,0.908671689244694,"MN-50-1-T4","Susceptible",1,"LN","6","LN6","50_LN","50_N","MN-50-1","LN","LN6",4,"Nitrate","50_6","Nitrate","L","N6","N6","N"
"LN-50-2-T4",33,0.647826723331375,1.71189778972845,"LN-50-2-T4","Susceptible",2,"LN","6","LN6","50_LN","50_N","LN-50-2","LN","LN6",4,"Nitrate","50_6","Nitrate","L","N6","N6","N"
"LN-50-3-T2",13,0.320537396414351,0.74775506640646,"LN-50-3-T2","Susceptible",3,"HN","6","HN6","50_HN","50_N","LN-50-3","HN","HN6",5,"Nitrate","50_6","Nitrate","H","N6","N6","N"
"MN-50-1-T2",16,0.49260111850877,1.00119234125013,"MN-50-1-T2","Susceptible",1,"LN","3","LN3","50_LN","50_N","MN-50-1","LN","LN3",4,"Nitrate","50_3","Nitrate","L","N3","N3","N"
"HA-50-1-T4",29,0.537929473646463,1.61409289363123,"HA-50-1-T4","Susceptible",1,"HA","6","HA6","50_HA","50_A","HA-50-1","HA","HA6",7,"Ammonium","50_6","Ammonium","H","A6","A6","N"
"HA-50-3-T4",75,0.553080685646461,1.83988336911535,"HA-50-3-T4","Susceptible",3,"HA","6","HA6","50_HA","50_A","HA-50-3","HA","HA6",7,"Ammonium","50_6","Ammonium","H","A6","A6","N"
"MP-50-2-TB",48,0.490351218895063,1.57800814085587,"MP-50-2-TB","Susceptible",2,"LP","0","LP0","50_T0","50_T0","MP-50-2","T0","T0",2,"T0","50_0","Phosphate","0","T0","P0","N"
"HC-50-3-TB",29,0.317382288702821,0.91928127822236,"HC-50-3-TB","Susceptible",3,"HC","0","HC0","50_T0","50_T0","HC-50-3","T0","T0",9,"T0","50_0","Combined","0","T0","C0","N"
"HP-50-3-TB",35,0.488310479836476,1.26749596011588,"HP-50-3-TB","Susceptible",3,"HP","0","HP0","50_T0","50_T0","HP-50-3","T0","T0",3,"T0","50_0","Phosphate","0","T0","P0","N"
"HP-50-1-TB",36,0.828937678311682,2.67297309612294,"HP-50-1-TB","Susceptible",1,"HP","0","HP0","50_T0","50_T0","HP-50-1","T0","T0",3,"T0","50_0","Phosphate","0","T0","P0","N"
"MP-50-3-TB",42,0.735309549156655,2.27838252594595,"MP-50-3-TB","Susceptible",3,"LP","0","LP0","50_T0","50_T0","MP-50-3","T0","T0",2,"T0","50_0","Phosphate","0","T0","P0","N"
"CTRL-50-4-TB",35,0.507769183401178,1.50129691671961,"CTRL-50-4-TB","Susceptible",4,"NT","0","NT0","50_T0","50_T0","CTRL-50-4","T0","T0",1,"T0","50_0","No Treatment","0","T0","NT0","N"
"MC-50-1-TB",38,0.621644023510324,1.86713504000283,"MC-50-1-TB","Susceptible",1,"LC","0","LC0","50_T0","50_T0","MC-50-1","T0","T0",8,"T0","50_0","Combined","0","T0","C0","N"
"MC-50-3-TB",58,0.523315630357431,1.70997144562245,"MC-50-3-TB","Susceptible",3,"LC","0","LC0","50_T0","50_T0","MC-50-3","T0","T0",8,"T0","50_0","Combined","0","T0","C0","N"
"MC-50-2-TB",47,0.533493930880978,1.5812029720828,"MC-50-2-TB","Susceptible",2,"LC","0","LC0","50_T0","50_T0","MC-50-2","T0","T0",8,"T0","50_0","Combined","0","T0","C0","N"
"HP-50-2-TB",59,0.567331537640974,1.68016351693493,"HP-50-2-TB","Susceptible",2,"HP","0","HP0","50_T0","50_T0","HP-50-2","T0","T0",3,"T0","50_0","Phosphate","0","T0","P0","N"
"HC-50-1-TB",30,0.351368262479105,0.964743863180518,"HC-50-1-TB","Susceptible",1,"HC","0","HC0","50_T0","50_T0","HC-50-1","T0","T0",9,"T0","50_0","Combined","0","T0","C0","N"
"CTRL-50-3-TB",50,0.313545754679448,0.97245725106856,"CTRL-50-3-TB","Susceptible",3,"NT","0","NT0","50_T0","50_T0","CTRL-50-3","T0","T0",1,"T0","50_0","No Treatment","0","T0","NT0","N"
"MP-50-1-TB",49,0.699451980876661,2.066251695853,"MP-50-1-TB","Susceptible",1,"LP","0","LP0","50_T0","50_T0","MP-50-1","T0","T0",2,"T0","50_0","Phosphate","0","T0","P0","N"
"HA-50-3-T3",33,0.175068769805034,0.516485977042491,"HA-50-3-T3","Susceptible",3,"HA","6","HA6","50_HA","50_A","HA-50-3","HA","HA6",7,"Ammonium","50_6","Ammonium","H","A6","A6","N"
"HC-50-2-TB",38,0.466012948869864,1.34850053003625,"HC-50-2-TB","Susceptible",2,"HC","0","HC0","50_T0","50_T0","HC-50-2","T0","T0",9,"T0","50_0","Combined","0","T0","C0","N"
"HP-50-2-TE",17,0.223606562069972,0.645607553799949,"HP-50-2-TE","Susceptible",2,"HP","6","HP6","50_HP","50_P","HP-50-2","HP","HP6",3,"Phosphate","50_6","Phosphate","H","P6","P6","N"
"MC-50-3-TE",23,0.232185376891468,0.691802377172275,"MC-50-3-TE","Susceptible",3,"LC","6","LC6","50_LC","50_C","MC-50-3","LC","LC6",8,"Combined","50_6","Combined","L","C6","C6","N"
"LP-50-1-T0",84,0.888352819842888,2.97358297865742,"LP-50-1-T0","Susceptible",1,"NT","0","NT0","50_T0","50_T0","LP-50-1","T0","T0",1,"T0","50_0","No Treatment","0","T0","NT0","N"
"LA-50-2-T0",58,0.486850973181431,1.38420034999558,"LA-50-2-T0","Susceptible",2,"LA","0","LA0","50_T0","50_T0","LA-50-2","T0","T0",6,"T0","50_0","Ammonium","0","T0","A0","N"
"HA-50-1-T0",81,0.49885800491612,1.5570294100274,"HA-50-1-T0","Susceptible",1,"HA","0","HA0","50_T0","50_T0","HA-50-1","T0","T0",7,"T0","50_0","Ammonium","0","T0","A0","N"
"CTRL-50-1-T0",92,0.816560883343971,2.50820677247873,"CTRL-50-1-T0","Susceptible",1,"NT","0","NT0","50_T0","50_T0","CTRL-50-1","T0","T0",1,"T0","50_0","No Treatment","0","T0","NT0","N"
"MN-50-1-T0",86,0.807137653963485,2.69722152676556,"MN-50-1-T0","Susceptible",1,"LN","0","LN0","50_T0","50_T0","MN-50-1","T0","T0",4,"T0","50_0","Nitrate","0","T0","N0","N"
"MN-50-2-T0",89,0.779322609147873,2.5802541023333,"MN-50-2-T0","Susceptible",2,"LN","0","LN0","50_T0","50_T0","MN-50-2","T0","T0",4,"T0","50_0","Nitrate","0","T0","N0","N"
"CTRL-50-3-T0",69,0.503228983404287,1.62244021314055,"CTRL-50-3-T0","Susceptible",3,"NT","0","NT0","50_T0","50_T0","CTRL-50-3","T0","T0",1,"T0","50_0","No Treatment","0","T0","NT0","N"
"HP-50-1-T0",73,0.507787806232061,1.50836553332202,"HP-50-1-T0","Susceptible",1,"HP","0","HP0","50_T0","50_T0","HP-50-1","T0","T0",3,"T0","50_0","Phosphate","0","T0","P0","N"
"LC-50-3-T0",79,0.839614408899805,2.72029315095515,"LC-50-3-T0","Susceptible",3,"HC","0","HC0","50_T0","50_T0","LC-50-3","T0","T0",9,"T0","50_0","Combined","0","T0","C0","N"
"CTRL-50-2-T0",21,0.179191033460918,0.497117727055271,"CTRL-50-2-T0","Susceptible",2,"NT","3","NT3","50_NT","50_NT","CTRL-50-2","NT","NT3",1,"No Treatment","50_3","No Treatment","0","NT3","NT3","N"
"LA-50-3-T4",12,0.160916880457278,0.439513148307467,"LA-50-3-T4","Susceptible",3,"HA","6","HA6","50_HA","50_A","LA-50-3","HA","HA6",7,"Ammonium","50_6","Ammonium","H","A6","A6","N"
"HN-50-3-T4",56,0.378108415965091,1.22711479508279,"HN-50-3-T4","Susceptible",3,"HN","6","HN6","50_HN","50_N","HN-50-3","HN","HN6",5,"Nitrate","50_6","Nitrate","H","N6","N6","N"
"HN-50-1-T1",18,0.22012386183337,0.562089646365786,"HN-50-1-T1","Susceptible",1,"HN","3","HN3","50_HN","50_N","HN-50-1","HN","HN3",5,"Nitrate","50_3","Nitrate","H","N3","N3","N"
"LA-50-1-T1",19,0.072248349763236,0.247572007126637,"LA-50-1-T1","Susceptible",1,"NT","3","NT3","50_NT","50_NT","LA-50-1","NT","NT3",1,"No Treatment","50_3","No Treatment","0","NT3","NT3","N"
"MA-50-1-T4",40,0.363031387473237,1.16779796447515,"MA-50-1-T4","Susceptible",1,"LA","6","LA6","50_LA","50_A","MA-50-1","LA","LA6",6,"Ammonium","50_6","Ammonium","L","A6","A6","N"
"HN-50-3-T1",18,0.276928190210209,0.670032668638132,"HN-50-3-T1","Susceptible",3,"HN","3","HN3","50_HN","50_N","HN-50-3","HN","HN3",5,"Nitrate","50_3","Nitrate","H","N3","N3","N"
"LA-50-2-T1",27,0.386814358541207,0.809039217717459,"LA-50-2-T1","Susceptible",2,"LA","6","LA6","50_LA","50_A","LA-50-2","LA","LA6",6,"Ammonium","50_6","Ammonium","L","A6","A6","N"
"MN-50-3-T1",62,0.323917748034945,0.98536317974615,"MN-50-3-T1","Susceptible",3,"LN","3","LN3","50_LN","50_N","MN-50-3","LN","LN3",4,"Nitrate","50_3","Nitrate","L","N3","N3","N"
"MN-50-1-T1",127,0.345641280259599,1.29027122568925,"MN-50-1-T1","Susceptible",1,"LN","3","LN3","50_LN","50_N","MN-50-1","LN","LN3",4,"Nitrate","50_3","Nitrate","L","N3","N3","N"
"HA-50-1-T1",11,0.101122510369915,0.288346264703315,"HA-50-1-T1","Susceptible",1,"HA","3","HA3","50_HA","50_A","HA-50-1","HA","HA3",7,"Ammonium","50_3","Ammonium","H","A3","A3","N"
"HA-50-2-T1",31,0.412479005066795,1.28840187086185,"HA-50-2-T1","Susceptible",2,"HA","3","HA3","50_HA","50_A","HA-50-2","HA","HA3",7,"Ammonium","50_3","Ammonium","H","A3","A3","N"
"HA-50-2-T2",7,0.0915148995729215,0.237336932111987,"HA-50-2-T2","Susceptible",2,"HA","6","HA6","50_HA","50_A","HA-50-2","HA","HA6",7,"Ammonium","50_6","Ammonium","H","A6","A6","N"
"HA-50-3-T2",21,0.238283353605542,0.695612545175244,"HA-50-3-T2","Susceptible",3,"HA","3","HA3","50_HA","50_A","HA-50-3","HA","HA3",7,"Ammonium","50_3","Ammonium","H","A3","A3","N"
"HN-50-1-T2",6,0.368791690708331,0.74669995718628,"HN-50-1-T2","Susceptible",1,"HN","3","HN3","50_HN","50_N","HN-50-1","HN","HN3",5,"Nitrate","50_3","Nitrate","H","N3","N3","N"
"LN-50-2-T2",50,0.445799712839026,1.32252005234943,"LN-50-2-T2","Susceptible",2,"LN","3","LN3","50_LN","50_N","LN-50-2","LN","LN3",4,"Nitrate","50_3","Nitrate","L","N3","N3","N"
"CTRL-50-2-T0-2",51,0.549825460980475,1.42947654640091,"CTRL-50-2-T0-2","Susceptible",2,"NT","3","NT3","50_NT","50_NT","CTRL-50-2","NT","NT3",1,"No Treatment","50_3","No Treatment","0","NT3","NT3","N"
"MA-50-1-T2",30,0.416456056814102,1.10801866847171,"MA-50-1-T2","Susceptible",1,"LA","6","LA6","50_LA","50_A","MA-50-1","LA","LA6",6,"Ammonium","50_6","Ammonium","L","A6","A6","N"
"MC-50-2-T0",70,0.537982417892939,1.79927405015835,"MC-50-2-T0","Susceptible",2,"LC","0","LC0","50_T0","50_T0","MC-50-2","T0","T0",8,"T0","50_0","Combined","0","T0","C0","N"
"LA-50-2-T2",20,0.378223923688872,0.854111935343051,"LA-50-2-T2","Susceptible",2,"LA","6","LA6","50_LA","50_A","LA-50-2","LA","LA6",6,"Ammonium","50_6","Ammonium","L","A6","A6","N"
